Original,New
"DK'BL","Unknown"
"DK'GY","Gray"
"DK'RD","Red"
"DK-BL","Blue"
"DK-BR","Brown"
"DK-GR","Green"
"DK-GY","Gray"
"DK-MR","Unknown"
"DK-PR","Purple"
"DK-RD","Red"
"DK-TN","Unknown"
"DK. B","Unknown"
"DK.BL","Unknown"
"DK/","Unknown"
"DK/BK","Unknown"
"DK/BL","Blue"
"DK/BR","Brown"
"DK/BU","Blue"
"DK/GL","Unknown"
"DK/GN","Green"
"DK/GR","Green"
"DK/GY","Gray"
"DK/MR","Unknown"
"DK/OR","Orange"
"DK/PR","Purple"
"DK/RD","Red"
"DK/RE","Red"
"DK/TN","Unknown"
"DK/WH","Unknown"
"DKB","Unknown"
"DKBK","Unknown"
"DKBKL","Unknown"
"DKBL","Blue"
"DKBLU","Blue"
"DKBR","Brown"
"DKBRN","Brown"
"DKBRO","Brown"
"DKBWE","Unknown"
"DKCAR","Unknown"
"DKDK","Unknown"
"DKG","Unknown"
"DKG.","Unknown"
"DKGAR","Unknown"
"DKGL","Unknown"
"DKGN","Green"
"DKGR","Green"
"DKGRA","Unknown"
"DKGRE","Green"
"DKGRJ","Unknown"
"DKGRN","Unknown"
"DKGRY","Gray"
"DKGY","Gray"
"DKGY.","Gray"
"DKGY?","Gray"
"DKM","Unknown"
"DKMET","Unknown"
"DKMR","Unknown"
"DKMRN","Unknown"
"DKO","Unknown"
"DKOR","Orange"
"DKP","Unknown"
"DKPK","Pink"
"DKPPL","Unknown"
"DKPR","Unknown"
"DKPUR","Purple"
"DKR","Red"
"DKRD","Red"
"DKRD.","Red"
"DKRED","Red"
"DKSIL","Silver"
"DKT","Unknown"
"DKTN","Unknown"
"DKW","Unknown"
"DKWH","Unknown"
"DKYW","Unknown"
"DL","Unknown"
"DLBL","Unknown"
"DLIVE","Unknown"
"DLK","Unknown"
"DLL","Unknown"
"DLRD","Unknown"
"DLS","Unknown"
"DM","Unknown"
"DMR","Unknown"
"DN","Unknown"
"DNCLC","Unknown"
"DNRHE","Unknown"
"DO/GR","Unknown"
"DODG","Unknown"
"DODGE","Unknown"
"DODGT","Unknown"
"DODS","Unknown"
"DOWTE","Unknown"
"DPIW.","Unknown"
"DR","Unknown"
"DR BL","Blue"
"DR GN","Green"
"DR GR","Unknown"
"DR GY","Gray"
"DR RD","Red"
"DR RE","Red"
"DR TN","Unknown"
"DR-RD","Red"
"DR/ER","Unknown"
"DR/RD","Red"
"DRA","Unknown"
"DRAK","Unknown"
"DRANG","Unknown"
"DRAY","Unknown"
"DRBL","Unknown"
"DRBLU","Blue"
"DRE","Unknown"
"DREAM","Unknown"
"DRED","Unknown"
"DREY","Unknown"
"DRFTW","Unknown"
"DRG","Unknown"
"DRGR","Unknown"
"DRGRE","Green"
"DRGRY","Gray"
"DRGY","Gray"
"DRK","Unknown"
"DRK B","Blue"
"DRK G","Green"
"DRKBL","Blue"
"DRKGR","Green"
"DRKGY","Gray"
"DRKLY","Unknown"
"DRM","Unknown"
"DRN","Unknown"
"DRONG","Unknown"
"DRU","Unknown"
"DRY","Unknown"
"DSI","Unknown"
"DSILV","Unknown"
"DST","Unknown"
"DTHER","Unknown"
"DTWN","Unknown"
"DUDU","Unknown"
"DUL","Unknown"
"DUMA","Unknown"
"DUMP","Unknown"
"DUMPE","Unknown"
"DUNG","Unknown"
"DUR","Unknown"
"DUST","Unknown"
"DUUU","Unknown"
"DVE","Unknown"
"DW","Unknown"
"DWH","Unknown"
"DY","Unknown"
"DYGY","Unknown"
"Dark","Black"
"E","Unknown"
"E--","Unknown"
"E.","Unknown"
"E/K","Unknown"
"E/UC","Unknown"
"E/W","Unknown"
"EA","Unknown"
"EARTH","Brown"
"EAST","Unknown"
"EBONY","Unknown"
"ED","Unknown"
"ED.","Unknown"
"ED/WH","Unknown"
"EDGE","Unknown"
"EEN","Unknown"
"EH","Unknown"
"EHI","Unknown"
"EHITE","White"
"EHT","Unknown"
"EHTE","Unknown"
"EIGE","Unknown"
"EILVE","Silver"
"EIN","Unknown"
"EJLW","Unknown"
"EL","Unknown"
"ELA","Unknown"
"ELK","Unknown"
"ELLO","Unknown"
"ELLOW","Yellow"
"EMERA","Unknown"
"EMOOL","Unknown"
"ENRAY","Unknown"
"EQUIN","Unknown"
"ER","Unknown"
"ERD","Red"
"ES","Unknown"
"ESKY","Unknown"
"ET","Unknown"
"EVRGN","Unknown"
"EWS","Unknown"
"EY","Unknown"
"EYK-","Unknown"
"F","Unknown"
"F  GR","Unknown"
"F GRE","Green"
"F/W","Unknown"
"F=GRA","Unknown"
"FAD","Unknown"
"FAN","Unknown"
"FAUPE","Unknown"
"FD","Unknown"
"FEAY","Unknown"
"FED","Red"
"FEDEX","Unknown"
"FEY","Unknown"
"FF","Unknown"
"FGRAY","Gray"
"FGREY","Gray"
"FGRN","Green"
"FGRY","Gray"
"FHRN","Unknown"
"FIAT","Unknown"
"FIL","Unknown"
"FIRE","Red"
"FITIS","Unknown"
"FK","Unknown"
"FL","Unknown"
"FLAT","Unknown"
"FLEET","Unknown"
"FLINT","Unknown"
"FLORI","Unknown"
"FLVR","Unknown"
"FM","Unknown"
"FN","Unknown"
"FO","Unknown"
"FOLD","Unknown"
"FORD","Unknown"
"FORN","Unknown"
"FOUR","Unknown"
"FR","Unknown"
"FRAT","Unknown"
"FRAY","Gray"
"FRAY.","Gray"
"FRE","Unknown"
"FRED","Red"
"FREEN","Green"
"FREG","Unknown"
"FREI","Unknown"
"FREIG","Unknown"
"FREIH","Unknown"
"FREY","Gray"
"FREY.","Gray"
"FRG","Unknown"
"FRH","Unknown"
"FRIEG","Unknown"
"FRIG","Unknown"
"FRIGH","Unknown"
"FRN","Unknown"
"FROST","Blue"
"FRT","Unknown"
"FRTLN","Unknown"
"FRY","Unknown"
"FRY.","Unknown"
"FSP","Unknown"
"FT","Unknown"
"FTM","Unknown"
"FUS","Unknown"
"FUSHI","Unknown"
"FUSO","Unknown"
"FWYM","Unknown"
"FXCH","Unknown"
"FY","Unknown"
"FY.","Unknown"
"G","Unknown"
"G ,","Unknown"
"G A","Unknown"
"G MH","Unknown"
"G OLD","Gold"
"G R","Unknown"
"G RAY","Gray"
"G Y","Unknown"
"G Y.","Unknown"
"G,","Unknown"
"G,Y","Unknown"
"G-M","Unknown"
"G-TAN","Unknown"
"G-Y","Unknown"
"G.","Unknown"
"G. Y","Unknown"
"G.I","Unknown"
"G.M","Unknown"
"G.NM","Unknown"
"G.RAY","Gray"
"G.Y","Unknown"
"G/GY","Unknown"
"G/M","Unknown"
"G/O","Unknown"
"G/W","Unknown"
"G/WT","Unknown"
"G/Y","Unknown"
"GA","Unknown"
"GA  J","Unknown"
"GACK","Unknown"
"GAD","Unknown"
"GADLN","Unknown"
"GAEY","Unknown"
"GAL","Unknown"
"GALVA","Unknown"
"GAM","Unknown"
"GAN","Unknown"
"GANIT","Unknown"
"GAP","Unknown"
"GAR","Unknown"
"GARNE","Unknown"
"GARUN","Unknown"
"GARVE","Unknown"
"GARY","Gray"
"GARY.","Gray"
"GAY","Unknown"
"GAYBL","Unknown"
"GAYR","Unknown"
"GB","Unknown"
"GB.","Unknown"
"GBEI","Unknown"
"GBLAC","Black"
"GBLK","Black"
"GBLUE","Blue"
"GBOLD","Gold"
"GBURG","Unknown"
"GBY","Unknown"
"GC","Unknown"
"GCLD","Unknown"
"GCY","Unknown"
"GD","Unknown"
"GD TN","Unknown"
"GD.","Unknown"
"GD/BK","Unknown"
"GD/GY","Unknown"
"GD/TA","Unknown"
"GD/TN","Unknown"
"GDBK","Unknown"
"GDBN","Unknown"
"GDEY","Unknown"
"GDL","Unknown"
"GDLD","Gold"
"GDN","Unknown"
"GDQ","Unknown"
"GDR","Unknown"
"GDWHT","Unknown"
"GDY","Unknown"
"GE","Unknown"
"GE  R","Unknown"
"GEAY","Unknown"
"GED","Unknown"
"GEE","Unknown"
"GEEN","Green"
"GEERN","Green"
"GEEY","Unknown"
"GEGE","Unknown"
"GEID","Unknown"
"GEIGE","Unknown"
"GEN","Unknown"
"GER","Unknown"
"GERAY","Gray"
"GEREE","Green"
"GEREN","Green"
"GEREY","Unknown"
"GERN","Unknown"
"GERY","Unknown"
"GET","Unknown"
"GETER","Unknown"
"GEWWM","Unknown"
"GEY","Unknown"
"GF","Unknown"
"GFEEN","Green"
"GFN","Unknown"
"GFRAY","Gray"
"GFREY","Unknown"
"GFY","Unknown"
"GG","Unknown"
"GGEEN","Green"
"GGOLD","Good"
"GGR","Unknown"
"GGRA","Unknown"
"GGRAY","Gray"
"GGREE","Green"
"GGREY","Gray"
"GGRN","Green"
"GGRY","Gray"
"GGY","Unknown"
"GH","Unknown"
"GHEY","Unknown"
"GHN","Unknown"
"GHOLD","Gold"
"GHR","Unknown"
"GHRAY","Gray"
"GHREE","Green"
"GHREN","Green"
"GHREY","Gray"
"GHRY","Unknown"
"GHTBL","Unknown"
"GHY","Unknown"
"GI","Unknown"
"GI O.","Unknown"
"GI)U","Unknown"
"GIA","Unknown"
"GIC","Unknown"
"GID","Unknown"
"GIDIE","Unknown"
"GIKD","Unknown"
"GIL","Unknown"
"GILD","Gold"
"GILRE","Unknown"
"GILVE","Silver"
"GIN","Unknown"
"GINGE","Unknown"
"GIOLD","Gold"
"GIR","Unknown"
"GIU","Unknown"
"GIUH","Unknown"
"GIVER","Silver"
"GIW.","Unknown"
"GIY","Unknown"
"GIZ","Unknown"
"GIZAT","Unknown"
"GJ","Unknown"
"GJA","Unknown"
"GJOLD","Gold"
"GJR","Unknown"
"GJY","Unknown"
"GK","Unknown"
"GK.","Unknown"
"GKAY","Gray"
"GKEY","Gray"
"GKM","Unknown"
"GKN","Unknown"
"GKY","Unknown"
"GL","Gold"
"GL TN","Unknown"
"GL-BR","Unknown"
"GL-GR","Unknown"
"GL-GY","Unknown"
"GL-PR","Unknown"
"GL-SL","Unknown"
"GL.","Gold"
"GL/","Gold"
"GL/BK","Unknown"
"GL/BN","Unknown"
"GL/GR","Unknown"
"GL/SL","Unknown"
"GL/TN","Unknown"
"GL;;.","Gold"
"GLA","Unknown"
"GLA25","Unknown"
"GLACK","Unknown"
"GLAGE","Unknown"
"GLAN","Unknown"
"GLAR","Unknown"
"GLAY","Unknown"
"GLB","Unknown"
"GLBK","Unknown"
"GLBL","Unknown"
"GLBLK","Unknown"
"GLBR","Unknown"
"GLD","Gold"
"GLD T","Unknown"
"GLD-G","Unknown"
"GLD.","Gold"
"GLD/G","Unknown"
"GLD/T","Unknown"
"GLDD","Gold"
"GLDF","Unknown"
"GLE","Unknown"
"GLEF","Unknown"
"GLEN","Unknown"
"GLF","Unknown"
"GLG","Unknown"
"GLGL","Unknown"
"GLGR","Unknown"
"GLGY","Unknown"
"GLIV","Unknown"
"GLK","Unknown"
"GLKPP","Unknown"
"GLM","Unknown"
"GLMR","Unknown"
"GLN","Unknown"
"GLO","Gold"
"GLOD","Gold"
"GLOD.","Gold"
"GLON","Unknown"
"GLOR","Unknown"
"GLP","Unknown"
"GLPK","Unknown"
"GLPR","Unknown"
"GLR","Unknown"
"GLRD","Unknown"
"GLT","Unknown"
"GLTN","Unknown"
"GLU","Unknown"
"GLUCA","Unknown"
"GLUE","Unknown"
"GLUER","Unknown"
"GLV","Unknown"
"GLW","Unknown"
"GLWH","Unknown"
"GLY","Unknown"
"GM","Unknown"
"GM L","Unknown"
"GMC","Unknown"
"GME","Unknown"
"GML","Unknown"
"GMU","Unknown"
"GMV","Unknown"
"GMY","Unknown"
"GN","Unknown"
"GN BG","Unknown"
"GN BK","Unknown"
"GN BL","Unknown"
"GN GR","Unknown"
"GN GY","Unknown"
"GN SL","Unknown"
"GN TN","Unknown"
"GN WH","Unknown"
"GN WT","Unknown"
"GN,","Unknown"
"GN-BK","Unknown"
"GN-WH","Unknown"
"GN.","Unknown"
"GN/","Unknown"
"GN/BK","Unknown"
"GN/GY","Unknown"
"GN/PK","Unknown"
"GN/PN","Unknown"
"GN/TN","Unknown"
"GN/WH","Unknown"
"GN/WT","Unknown"
"GNB","Unknown"
"GNBL","Unknown"
"GNBLU","Unknown"
"GND","Unknown"
"GNE","Unknown"
"GNEER","Green"
"GNG","Unknown"
"GNGY","Unknown"
"GNJY","Unknown"
"GNM.","Unknown"
"GNMTL","Unknown"
"GNN","Unknown"
"GNO","Unknown"
"GNQ","Unknown"
"GNR","Unknown"
"GNV","Unknown"
"GNW","Unknown"
"GNWH","Unknown"
"GNWHT","Unknown"
"GNWT","Unknown"
"GNY","Unknown"
"GO","Unknown"
"GO/BR","Unknown"
"GOD","Unknown"
"GODL","Gold"
"GOH","Unknown"
"GOID","Gold"
"GOILD","Gold"
"GOIN","Unknown"
"GOIO","Unknown"
"GOK","Unknown"
"GOKLD","Gold"
"GOL","Gold"
"GOL,D","Gold"
"GOL.","Gold"
"GOL/S","Unknown"
"GOLD","Gold"
"GOLD.","Gold"
"GOLD/","Gold"
"GOLDB","Gold"
"GOLDD","Gold"
"GOLDE","Gold"
"GOLDF","Gold"
"GOLDN","Gold"
"GOLDQ","Gold"
"GOLDS","Gold"
"GOLDT","Gold"
"GOLE","Gold"
"GOLF","Gold"
"GOLG","Gold"
"GOLK","Gold"
"GOLMI","Unknown"
"GOLOD","Gold"
"GOLS","Unknown"
"GOLSD","Unknown"
"GOOD","Gold"
"GOOLD","Gold"
"GORAN","Orange"
"GOUY","Unknown"
"GOV","Unknown"
"GOVN","Unknown"
"GOW","Unknown"
"GP","Unknown"
"GP D","Unknown"
"GP;D","Unknown"
"GPD","Unknown"
"GPEEN","Green"
"GPII","Unknown"
"GPL","Unknown"
"GPLD","Unknown"
"GPN","Unknown"
"GPR","Unknown"
"GQ","Unknown"
"GR","Unknown"
"GR AY","Unknown"
"GR BK","Unknown"
"GR BL","Unknown"
"GR EY","Unknown"
"GR GY","Unknown"
"GR N","Unknown"
"GR PU","Unknown"
"GR RD","Unknown"
"GR SL","Unknown"
"GR WH","Unknown"
"GR WT","Unknown"
"GR Y","Unknown"
"GR,","Unknown"
"GR-BK","Unknown"
"GR-BL","Unknown"
"GR-BR","Unknown"
"GR-GL","Unknown"
"GR-GR","Unknown"
"GR-GY","Unknown"
"GR-RD","Unknown"
"GR-TN","Unknown"
"GR-WH","Unknown"
"GR.","Unknown"
"GR.AY","Gray"
"GR/","Unknown"
"GR/BK","Unknown"
"GR/BL","Unknown"
"GR/BR","Unknown"
"GR/GY","Unknown"
"GR/OR","Unknown"
"GR/PR","Unknown"
"GR/RD","Unknown"
"GR/RE","Unknown"
"GR/SI","Unknown"
"GR/SL","Unknown"
"GR/SV","Unknown"
"GR/TA","Unknown"
"GR/W","Unknown"
"GR/WH","Unknown"
"GR/WT","Unknown"
"GR/Y","Unknown"
"GR/YE","Unknown"
"GR/YW","Unknown"
"GR0","Unknown"
"GR1","Unknown"
"GR;","Unknown"
"GRA","Gray"
"GRA B","Unknown"
"GRA Y","Gray"
"GRA.","Gray"
"GRA.Y","Gray"
"GRA/W","Unknown"
"GRAAY","Gray"
"GRAB","Unknown"
"GRAC","Unknown"
"GRAD","Unknown"
"GRADY","Gray"
"GRAEY","Gray"
"GRAFF","Unknown"
"GRAFI","Unknown"
"GRAG","Unknown"
"GRAHY","Gray"
"GRAKY","Gray"
"GRAL","Gray"
"GRAM","Gray"
"GRAN","Gray"
"GRAND","Unknown"
"GRANG","Unknown"
"GRANI","Unknown"
"GRANT","Unknown"
"GRAP","Gray"
"GRAPE","Unknown"
"GRAPH","Unknown"
"GRAQ","Unknown"
"GRAQY","Gray"
"GRAR","Gray"
"GRAR.","Gray"
"GRARG","Unknown"
"GRARY","Gray"
"GRAS","Gray"
"GRASY","Gray"
"GRAT","Gray"
"GRATY","Gray"
"GRAU","Gray"
"GRAUP","Unknown"
"GRAUY","Gray"
"GRAV","Unknown"
"GRAV.","Unknown"
"GRAVY","Unknown"
"GRAW","Gray"
"GRAY","Gray"
"GRAY.","Gray"
"GRAY/","Gray"
"GRAY3","Gray"
"GRAYB","Gray"
"GRAYD","Gray"
"GRAYE","Gray"
"GRAYF","Gray"
"GRAYG","Gray"
"GRAYH","Gray"
"GRAYL","Gray"
"GRAYQ","Gray"
"GRAYS","Gray"
"GRAYT","Gray"
"GRAYU","Gray"
"GRAYW","Gray"
"GRAYY","Gray"
"GRAY`","Gray"
"GRAZ","Gray"
"GRAZY","Gray"
"GRB","Unknown"
"GRBBN","Green"
"GRBK","Unknown"
"GRBL","Unknown"
"GRBLU","Unknown"
"GRBLW","Unknown"
"GRBR","Unknown"
"GRC","Unknown"
"GRCY","Gray"
"GRD","Unknown"
"GRDY","Gray"
"GRE","Green"
"GRE B","Unknown"
"GRE Y","Gray"
"GRE.","Green"
"GRE.Y","Gray"
"GREA","Unknown"
"GREAM","Unknown"
"GREAT","Unknown"
"GREAU","Unknown"
"GREAY","Gray"
"GRED","Unknown"
"GREDY","Unknown"
"GREE","Unknown"
"GREE/","Green"
"GREEB","Green"
"GREEC","Green"
"GREED","Green"
"GREEE","Green"
"GREEH","Green"
"GREEI","Green"
"GREEJ","Green"
"GREEM","Green"
"GREEN","Green"
"GREER","Green"
"GREEW","Green"
"GREEY","Gray"
"GREG","Unknown"
"GREH","Unknown"
"GREHY","Unknown"
"GREI","Unknown"
"GREIG","Unknown"
"GREIY","Unknown"
"GREN","Unknown"
"GREN.","Green"
"GREN/","Green"
"GRENE","Green"
"GRENN","Green"
"GRERE","Green"
"GRERN","Green"
"GRERY","Gray"
"GRET","Gray"
"GRET.","Gray"
"GRETY","Unknown"
"GREU","Unknown"
"GREUY","Unknown"
"GREW","Unknown"
"GREWN","Green"
"GREX","Unknown"
"GREY","Gray"
"GREY-","Gray"
"GREY.","Gray"
"GREY/","Gray"
"GREY6","Gray"
"GREYB","Gray"
"GREYE","Gray"
"GREYG","Gray"
"GREYH","Gray"
"GREYQ","Gray"
"GREYR","Gray"
"GREYS","Gray"
"GREYT","Gray"
"GREYU","Gray"
"GREYW","Gray"
"GREYY","Gray"
"GREY`","Gray"
"GRF","Unknown"
"GRFAY","Unknown"
"GRFEE","Green"
"GRFEN","Green"
"GRFEY","Unknown"
"GRFN","Unknown"
"GRFY","Unknown"
"GRG","Unknown"
"GRGL","Unknown"
"GRGR","Unknown"
"GRGY","Unknown"
"GRH","Unknown"
"GRHY","Unknown"
"GRI","Unknown"
"GRIED","Unknown"
"GRIN","Unknown"
"GRIV","Unknown"
"GRJ","Unknown"
"GRK","Unknown"
"GRL","Unknown"
"GRLY","Unknown"
"GRM","Unknown"
"GRMR","Unknown"
"GRN","Green"
"GRN B","Green"
"GRN Y","Green"
"GRN-C","Green"
"GRN-G","Green"
"GRN-W","Green"
"GRN.","Green"
"GRN/B","Green"
"GRN/G","Green"
"GRN/P","Green"
"GRN/W","Green"
"GRNGY","Unknown"
"GRNH","Unknown"
"GRNIT","Unknown"
"GRNN","Green"
"GRNQ","Green"
"GRNS","Green"
"GRNT","Green"
"GRNTA","Unknown"
"GRNTE","Unknown"
"GRNWH","Unknown"
"GRNY","Green"
"GRN`","Green"
"GRO","Unknown"
"GROEY","Unknown"
"GROIS","Unknown"
"GROON","Unknown"
"GROR","Unknown"
"GROVE","Unknown"
"GROW","Unknown"
"GROWN","Brown"
"GROY","Unknown"
"GRP","Unknown"
"GRPK","Unknown"
"GRPR","Unknown"
"GRQ","Unknown"
"GRQAY","Unknown"
"GRQWW","Unknown"
"GRR","Unknown"
"GRRAY","Gray"
"GRRD","Unknown"
"GRRE","Unknown"
"GRREE","Green"
"GRREN","Green"
"GRREY","Gray"
"GRRM","Unknown"
"GRRRN","Green"
"GRRY","Gray"
"GRS","Unknown"
"GRSAY","Gray"
"GRSL","Unknown"
"GRSY","Unknown"
"GRT","Unknown"
"GRTEE","Unknown"
"GRTEY","Unknown"
"GRTN","Unknown"
"GRTY","Gray"
"GRU","Unknown"
"GRU.","Unknown"
"GRUN","Unknown"
"GRUY","Gray"
"GRV","Unknown"
"GRW","Unknown"
"GRWEY","Unknown"
"GRWH","Unknown"
"GRWHT","Unknown"
"GRWN","Unknown"
"GRWON","Unknown"
"GRWWN","Unknown"
"GRWY","Unknown"
"GRX","Unknown"
"GRY","Gray"
"GRY B","Gray"
"GRY S","Gray"
"GRY-G","Gray"
"GRY.","Gray"
"GRY/","Gray"
"GRY/B","Gray"
"GRY/G","Gray"
"GRY/P","Gray"
"GRY/T","Gray"
"GRY/W","Gray"
"GRY3","Gray"
"GRYA","Gray"
"GRYAY","Unknown"
"GRYBK","Unknown"
"GRYBL","Unknown"
"GRYBR","Unknown"
"GRYE","Gray"
"GRYH","Gray"
"GRYL","Gray"
"GRYQ","Gray"
"GRYRE","Unknown"
"GRYS","Gray"
"GRYSI","Unknown"
"GRYSL","Unknown"
"GRYST","Unknown"
"GRYT","Gray"
"GRYTA","Unknown"
"GRYTN","Unknown"
"GRYU","Unknown"
"GRYW","Unknown"
"GRYY","Gray"
"GRZS","Unknown"
"GR`","Unknown"
"GT","Unknown"
"GT/BL","Unknown"
"GTAY","Gray"
"GTEY","Gray"
"GTL","Unknown"
"GTN","Unknown"
"GTR","Unknown"
"GTRAY","Gray"
"GTREY","Gray"
"GTRN","Unknown"
"GTRRN","Unknown"
"GTRY","Gray"
"GTY","Unknown"
"GTYY","Unknown"
"GU","Unknown"
"GU.","Unknown"
"GUEEN","Green"
"GUN","Unknown"
"GUNME","Unknown"
"GUR","Unknown"
"GURGD","Unknown"
"GURGN","Unknown"
"GURGU","Unknown"
"GURY","Unknown"
"GUY","Unknown"
"GV","Unknown"
"GVRY","Unknown"
"GW","Unknown"
"GWD","Unknown"
"GWE","Unknown"
"GWN","Unknown"
"GWT","Unknown"
"GX","Unknown"
"GXN","Unknown"
"GXV","Unknown"
"GY","Gray"
"GY  N","Gray"
"GY AB","Unknown"
"GY BK","Unknown"
"GY BL","Unknown"
"GY BN","Unknown"
"GY DK","Unknown"
"GY G","Gray"
"GY GN","Unknown"
"GY GR","Unknown"
"GY I","Gray"
"GY MR","Unknown"
"GY N","Gray"
"GY NO","Unknown"
"GY RD","Unknown"
"GY SI","Unknown"
"GY SL","Unknown"
"GY TA","Unknown"
"GY TN","Unknown"
"GY W","Gray"
"GY WH","Unknown"
"GY WT","Unknown"
"GY'","Gray"
"GY'''","Gray"
"GY**+","Gray"
"GY+","Gray"
"GY++","Gray"
"GY+++","Gray"
"GY,","Gray"
"GY,TN","Unknown"
"GY-","Gray"
"GY-BK","Unknown"
"GY-BL","Unknown"
"GY-BR","Unknown"
"GY-GR","Unknown"
"GY-GY","Unknown"
"GY-MR","Unknown"
"GY-PE","Unknown"
"GY-PK","Unknown"
"GY-PP","Unknown"
"GY-PR","Unknown"
"GY-RD","Unknown"
"GY-TN","Unknown"
"GY-WH","Unknown"
"GY.","Gray"
"GY. B","Gray"
"GY.;","Unknown"
"GY.U","Gray"
"GY/","Gray"
"GY///","Gray"
"GY/BE","Unknown"
"GY/BK","Unknown"
"GY/BL","Unknown"
"GY/BR","Unknown"
"GY/BW","Unknown"
"GY/GL","Unknown"
"GY/GN","Unknown"
"GY/GR","Unknown"
"GY/P","Unknown"
"GY/PK","Unknown"
"GY/PU","Unknown"
"GY/RD","Unknown"
"GY/SI","Unknown"
"GY/SL","Unknown"
"GY/TN","Unknown"
"GY/W","Unknown"
"GY/WH","Unknown"
"GY/WT","Unknown"
"GY/YW","Unknown"
"GY0","Gray"
"GY00","Gray"
"GY03","Gray"
"GY1","Gray"
"GY11","Gray"
"GY2","Gray"
"GY231","Gray"
"GY242","Gray"
"GY245","Gray"
"GY3","Gray"
"GY3M","Gray"
"GY42-","Gray"
"GY5","Gray"
"GY6","Gray"
"GY7","Gray"
"GY74","Gray"
"GY9+","Gray"
"GY;","Gray"
"GY?","Unknown"
"GYA","Unknown"
"GYAY","Unknown"
"GYB","Gray"
"GYBB","Unknown"
"GYBE","Unknown"
"GYBK","Unknown"
"GYBL","Unknown"
"GYBLK","Unknown"
"GYBLU","Unknown"
"GYBN","Unknown"
"GYBNG","Unknown"
"GYBR","Unknown"
"GYBRN","Unknown"
"GYC","Gray"
"GYCHA","Unknown"
"GYD","Gray"
"GYE","Gray"
"GYE3E","Unknown"
"GYF","Gray"
"GYG","Gray"
"GYGL","Unknown"
"GYGR","Unknown"
"GYGY","Unknown"
"GYH","Gray"
"GYH H","Unknown"
"GYHI","Unknown"
"GYHNU","Unknown"
"GYII","Unknown"
"GYJ","Gray"
"GYJUU","Unknown"
"GYK","Gray"
"GYKK","Unknown"
"GYL","Gray"
"GYM","Gray"
"GYMR","Unknown"
"GYMVH","Unknown"
"GYN","Gray"
"GYNH","Unknown"
"GYO","Gray"
"GYOR","Unknown"
"GYORA","Unknown"
"GYP","Gray"
"GYPK","Unknown"
"GYPR","Unknown"
"GYQ","Gray"
"GYQW","Unknown"
"GYR","Gray"
"GYRD","Unknown"
"GYRY","Unknown"
"GYS","Gray"
"GYSIL","Unknown"
"GYSL","Unknown"
"GYSW","Unknown"
"GYT","Gray"
"GYTN","Unknown"
"GYU","Gray"
"GYUM","Unknown"
"GYV","Gray"
"GYVBH","Unknown"
"GYW","Gray"
"GYWH","Unknown"
"GYWHI","Unknown"
"GYWHT","Unknown"
"GYWT","Unknown"
"GYX","Gray"
"GYXV","Unknown"
"GYY","Gray"
"GYY.","Gray"
"GYYA","Unknown"
"GYYW","Unknown"
"GYZ","Gray"
"GY][]","Gray"
"GY`","Gray"
"GZ","Unknown"
"GZY","Unknown"
"Gold","Gold"
"Gray","Gray"
"Green","Green"
"Grey","Gray"
"H","Unknown"
"H IK","Unknown"
"H.M","Unknown"
"H/WH","Unknown"
"HA","Unknown"
"HA.","Unknown"
"HACK","Unknown"
"HACWN","Unknown"
"HAR","Unknown"
"HARLE","Unknown"
"HAROO","Unknown"
"HAZEL","Brown"
"HAZOO","Unknown"
"HBLUE","Blue"
"HC","Unknown"
"HE","Unknown"
"HEATH","Unknown"
"HGCK","Unknown"
"HGD","Unknown"
"HGN","Unknown"
"HGRAY","Gray"
"HGRY","Gray"
"HGY","Unknown"
"HH","Unknown"
"HHT","Unknown"
"HIK","Unknown"
"HIKW","Unknown"
"HINO","Unknown"
"HITE","Unknown"
"HL","Unknown"
"HMI","Unknown"
"HMNN","Unknown"
"HN","Unknown"
"HOLD","Gold"
"HON","Unknown"
"HOND","Unknown"
"HONDA","Unknown"
"HONFS","Unknown"
"HOWD","Unknown"
"HR","Unknown"
"HRAU","Unknown"
"HRAY","Gray"
"HREEM","Green"
"HREEN","Green"
"HREU","Unknown"
"HREY","Gray"
"HRU","Unknown"
"HRY","Unknown"
"HT","Unknown"
"HTAY","Unknown"
"HTEY","Unknown"
"HTHRM","Unknown"
"HTW","Unknown"
"HU","Unknown"
"HUE","Unknown"
"HUGV","Unknown"
"HUL,","Unknown"
"HUMME","Unknown"
"HUN","Unknown"
"HUNTE","Unknown"
"HUT","Unknown"
"HW","Unknown"
"HWH","White"
"HWITE","White"
"HWT","Unknown"
"HX","Unknown"
"HY","Unknown"
"HYFON","Unknown"
"HYN","Unknown"
"HYU","Unknown"
"HYUN","Unknown"
"HYUND","Unknown"
"I","Unknown"
"I  C","Unknown"
"I CA","Unknown"
"I JKI","Unknown"
"I K","Unknown"
"I TC","Unknown"
"I,)","Unknown"
"I,,MV","Unknown"
"I,.II","Unknown"
"I,WHI","White"
"I,YI/","Unknown"
"I.","Unknown"
"I.K","Unknown"
"I.MG","Unknown"
"I.MJE","Unknown"
"I.MY","Unknown"
"I.NC","Unknown"
"I.OIO","Unknown"
"I.Y.A","Unknown"
"I/IN","Unknown"
"I/JII","Unknown"
"I/LWF","Unknown"
"I/W","Unknown"
"I9","Unknown"
"IA Y","Unknown"
"IAGI","Unknown"
"IAK","Unknown"
"IAN","Unknown"
