Original,New
"BERGS","Unknown"
"BERGU","Unknown"
"BERGY","Unknown"
"BERIG","Unknown"
"BERIN","Unknown"
"BEROW","Unknown"
"BERRY","Unknown"
"BERUG","Unknown"
"BERUN","Unknown"
"BESE","Unknown"
"BET","Unknown"
"BEU","Unknown"
"BEUG","Unknown"
"BEUGE","Unknown"
"BEW","Unknown"
"BEWN","Unknown"
"BEYGE","Unknown"
"BEYGI","Unknown"
"BF","Unknown"
"BG","Unknown"
"BG.","Unknown"
"BG/BK","Unknown"
"BGD","Unknown"
"BGDY","Unknown"
"BGDY.","Unknown"
"BGE","Unknown"
"BGE-B","Unknown"
"BGE.","Unknown"
"BGE/G","Unknown"
"BGI","Unknown"
"BGIGG","Unknown"
"BGLUE","Blue"
"BGN","Unknown"
"BGND","Unknown"
"BGNDY","Unknown"
"BGNEY","Unknown"
"BGNY","Unknown"
"BGR","Unknown"
"BGRAY","Gray"
"BGREE","Green"
"BGRN","Unknown"
"BGROW","Brown"
"BGRU","Unknown"
"BGRY","Gray"
"BGUDY","Unknown"
"BGUE","Blue"
"BGUY","Unknown"
"BGY","Unknown"
"BGYE","Unknown"
"BH","Unknown"
"BH.W","Unknown"
"BHARA","Unknown"
"BHC","Unknown"
"BHELL","Unknown"
"BHI","Unknown"
"BHIE","Unknown"
"BHL","Unknown"
"BHLAC","Unknown"
"BHO","Unknown"
"BHOOK","Unknown"
"BI","Unknown"
"BI GY","Unknown"
"BI K/","Unknown"
"BI W","Unknown"
"BI WT","Unknown"
"BI,K","Unknown"
"BI-","Unknown"
"BI.","Unknown"
"BI.K","Unknown"
"BI/WH","Unknown"
"BIA","Unknown"
"BIAC","Unknown"
"BIACK","Unknown"
"BIACX","Unknown"
"BIAGE","Unknown"
"BIARG","Unknown"
"BIC","Unknown"
"BICK","Unknown"
"BIDE","Unknown"
"BIDGE","Unknown"
"BIDWN","Unknown"
"BIE","Unknown"
"BIEE","Unknown"
"BIEG","Unknown"
"BIEGB","Unknown"
"BIEGE","Unknown"
"BIEGG","Unknown"
"BIEGL","Unknown"
"BIEGU","Unknown"
"BIERG","Unknown"
"BIESE","Unknown"
"BIG","Unknown"
"BIGCK","Unknown"
"BIGDE","Unknown"
"BIGE","Unknown"
"BIGEN","Unknown"
"BIGGE","Unknown"
"BIIL","Unknown"
"BIILA","Unknown"
